BARRIOS,ANIO,NRO_PERSONAS,POBLACION_TOTAL,PORCENTAJE_EXTRANJEROS
CORTES,2016,2183.0,10622.0,20.55
CORTES,2018,2313.0,10531.0,21.96
CORTES,2019,2420.0,10484.0,23.08
EMBAJADORES,2016,11091.0,44944.0,24.68
EMBAJADORES,2018,11275.0,44630.0,25.26
EMBAJADORES,2019,11869.0,45259.0,26.22
JUSTICIA,2016,3042.0,16420.0,18.53
JUSTICIA,2018,3410.0,16578.0,20.57
JUSTICIA,2019,3667.0,17153.0,21.38
PALACIO,2016,3652.0,22390.0,16.31
PALACIO,2018,3854.0,22515.0,17.12
PALACIO,2019,4028.0,22923.0,17.57
SOL,2016,1890.0,7422.0,25.46
SOL,2018,1805.0,7201.0,25.07
SOL,2019,2008.0,7337.0,27.37
UNIVERSIDAD,2016,6240.0,30846.0,20.23
UNIVERSIDAD,2018,6475.0,30897.0,20.96
UNIVERSIDAD,2019,6845.0,31725.0,21.58
